,Function,Taylor Expression
99,exp(0.5*x**2)*exp(-0.5*sin(x)),0.1484375*x**4 - 0.1875*x**3 + 0.625*x**2 - 0.5*x + 1
100,log(x + 1) + 3*sin(x),x*(-3*x**3 - 2*x**2 - 6*x + 48)/12
101,-2*x**3 - 0.5*x**2,x**2*(-2*x - 0.5)
102,-x**3,-x**3
103,2*x**2 + 3*exp(x),x**4/8 + x**3/2 + 7*x**2/2 + 3*x + 3
104,x**3,x**3
105,cos(2*sin(x)),4*x**4/3 - 2*x**2 + 1
106,3*x**3*sin(x),3*x**4
107,9*x**2,9*x**2
108,exp(2*x),2*x**4/3 + 4*x**3/3 + 2*x**2 + 2*x + 1
109,x - 3*log(x + 1),x*(3*x**3 - 4*x**2 + 6*x - 8)/4
110,-4*cos(x),-x**4/6 + 2*x**2 - 4
111,sin(3*exp(x)),x**4*(6*sin(3) - 53*cos(3))/8 - x**3*(8*cos(3) + 9*sin(3))/2 + 3*x**2*(cos(3) - 3*sin(3))/2 + 3*x*cos(3) + sin(3)
112,-3*x**2 - 2*cos(x),-x**4/12 - 2*x**2 - 2
113,-0.5*x**2,-0.5*x**2
114,-sin(sqrt(x**2 + 1)),sqrt(2)*x**4*sin(pi/4 + 1)/8 - x**2*cos(1)/2 - sin(1)
115,sin(2*x**2),2*x**2
116,exp(-3*x**3)*exp(3*exp(x)),(31*x**4 + 52*x**3 + 48*x**2 + 24*x + 8)*exp(3)/8
117,x**4 + 6*x**2*sqrt(x**2 + 1) + 9*x**2 + 9,4*x**4 + 15*x**2 + 9
118,-3*sqrt(x**2 + 1),3*x**4/8 - 3*x**2/2 - 3
119,0.5*exp(x),0.0208333333333333*x**4 + 0.0833333333333333*x**3 + 0.25*x**2 + 0.5*x + 0.5
120,2*x**3*sin(x),2*x**4
121,-4*sqrt(x**2 + 1)*cos(x),4*x**4/3 - 4
122,1.5*x**3*sqrt(x**2 + 1),1.5*x**3
123,-3*x**3 - 0.5*sqrt(x**2 + 1),0.0625*x**4 - 3*x**3 - 0.25*x**2 - 0.5
124,cos(2*sqrt(x**2 + 1)),x**4*(-2*cos(2) + sin(2))/4 - x**2*sin(2) + cos(2)
125,cos(x),x**4/24 - x**2/2 + 1
126,1.0*x,1.0*x
127,-1.0*exp(x)*cos(x),0.166666666666667*x**4 + 0.333333333333333*x**3 - 1.0*x - 1.0
128,log(x + 1),x*(-x**3/4 + x**2/3 - x/2 + 1)
129,0.5*sqrt(x**2 + 1),-0.0625*x**4 + 0.25*x**2 + 0.5
130,-0.5*x**2,-0.5*x**2
131,0.25*exp(2*x),0.166666666666667*x**4 + 0.333333333333333*x**3 + 0.5*x**2 + 0.5*x + 0.25
132,3*x**3 + 3*log(x + 1),x*(-3*x**3 + 16*x**2 - 6*x + 12)/4
133,1.0*exp(x)*cos(x),-0.166666666666667*x**4 - 0.333333333333333*x**3 + 1.0*x + 1.0
134,x**3 - 3*exp(x),-x**4/8 + x**3/2 - 3*x**2/2 - 3*x - 3
135,6*x**2*sqrt(x**2 + 1),3*x**2*(x**2 + 2)
136,2.5*cos(x),0.104166666666667*x**4 - 1.25*x**2 + 2.5
137,4*sin(x)**2,4*x**2*(3 - x**2)/3
138,cos(x*sin(x)),1 - x**4/2
139,log(x**2 + 1),-x**4/2 + x**2
140,2*log(x + 1),x*(-3*x**3 + 4*x**2 - 6*x + 12)/6
141,-2*x**3 + 0.5*x,x*(0.5 - 2*x**2)
142,9*x**3*log(x + 1),9*x**4
143,-2*x**3 + 3*x**2,x**2*(3 - 2*x)
144,-3*x**3,-3*x**3
145,-x**2 - 3*exp(x),-x**4/8 - x**3/2 - 5*x**2/2 - 3*x - 3
146,2*x**3,2*x**3
147,-0.5*sin(x),x*(0.0833333333333333*x**2 - 0.5)
148,2*x**3 - 3*cos(x),-x**4/8 + 2*x**3 + 3*x**2/2 - 3
149,2*x,2*x
150,0.5*sqrt(x**2 + 1),-0.0625*x**4 + 0.25*x**2 + 0.5
151,3*log(x + 1) + sin(x),x*(-9*x**3 + 10*x**2 - 18*x + 48)/12
152,-3*cos(x),-x**4/8 + 3*x**2/2 - 3
153,cos(cos(x)),-x**4*(sin(1) + 3*cos(1))/24 + x**2*sin(1)/2 + cos(1)
154,exp(0.5*cos(x)),(0.0520833333333333*x**4 - 0.25*x**2 + 1)*exp(1/2)
155,0.5*cos(x),0.0208333333333333*x**4 - 0.25*x**2 + 0.5
156,cos(3*exp(x)*sin(x)),-33*x**4/8 - 9*x**3 - 9*x**2/2 + 1
157,9*x**2 + 9,9*x**2 + 9
158,-3*sqrt(x**2 + 1) - 3*cos(x),x**4/4 - 6
159,x**2,x**2
160,-3*x**2 + log(x + 1),x*(-3*x**3 + 4*x**2 - 42*x + 12)/12
161,0.5*x**3 + cos(x),x**4/24 + 0.5*x**3 - x**2/2 + 1
162,0.25*x**2*sin(x),0.25*x**3
163,cos(x - 3*sqrt(x**2 + 1)),x**4*(27*sin(3) - 26*cos(3))/24 + x**3*(9*cos(3) - sin(3))/6 - x**2*(cos(3) + 3*sin(3))/2 + x*sin(3) + cos(3)
164,0.25*log(x + 1)**2,x**2*(0.229166666666667*x**2 - 0.25*x + 0.25)
165,-x**2,-x**2
166,sin(0.5*log(x + 1)*sin(x)),x**2*(0.0833333333333333*x**2 - 0.25*x + 0.5)
167,3*sqrt(x**2 + 1) + 3*exp(x),-x**4/4 + x**3/2 + 3*x**2 + 3*x + 6
168,2*x,2*x
169,x**3,x**3
170,-3*cos(x),-x**4/8 + 3*x**2/2 - 3
171,cos(3*cos(x)),-x**4*(9*cos(3) + sin(3))/8 + 3*x**2*sin(3)/2 + cos(3)
172,exp(x**3)*exp(2*sin(x)),2*x**4 + 2*x**3 + 2*x**2 + 2*x + 1
173,3*exp(x),x**4/8 + x**3/2 + 3*x**2/2 + 3*x + 3
174,1.0*x**2*exp(x),x**2*(0.5*x**2 + 1.0*x + 1.0)
175,-2*log(x + 1) - 3*cos(x),3*x**4/8 - 2*x**3/3 + 5*x**2/2 - 2*x - 3
176,sin(x),-x**3/6 + x
177,-4*sqrt(x**2 + 1)*exp(x),-2*x**4/3 - 8*x**3/3 - 4*x**2 - 4*x - 4
178,-3*x**2,-3*x**2
179,-sin(2*x**2),-2*x**2
180,log(x**2 + 2),-x**4/8 + x**2/2 + log(2)
181,3*x**3 + 3*cos(x),x**4/8 + 3*x**3 - 3*x**2/2 + 3
182,log(x + 1) + 3*sin(x),x*(-3*x**3 - 2*x**2 - 6*x + 48)/12
183,2*exp(x),x**4/12 + x**3/3 + x**2 + 2*x + 2
184,81*x**2*sin(x)**2,81*x**4
185,-sin(cos(x)),x**4*(-cos(1) + 3*sin(1))/24 + x**2*cos(1)/2 - sin(1)
186,-2*x**3,-2*x**3
187,3*x**2 - 3*exp(x),-x**4/8 - x**3/2 + 3*x**2/2 - 3*x - 3
188,sin(0.5*x**3),0.5*x**3
189,-x**2,-x**2
190,-3*x**3,-3*x**3
191,sin(2*sqrt(x**2 + 1)),-x**4*(cos(2) + 2*sin(2))/4 + x**2*cos(2) + sin(2)
192,3*sqrt(x**2 + 1),-3*x**4/8 + 3*x**2/2 + 3
193,-sqrt(x**2 + 1) + 0.5*log(x + 1),0.166666666666667*x**3 - 0.75*x**2 + 0.5*x - 1
194,-0.5*x**2 - 0.5*cos(x),-0.0208333333333333*x**4 - 0.25*x**2 - 0.5
195,2*x**2 - 2*sin(x),x*(x**2 + 6*x - 6)/3
196,2*log(x + 1),x*(-3*x**3 + 4*x**2 - 6*x + 12)/6
197,1.0*x**3*exp(x),1.0*x**3*(x + 1)
198,0.25*x**2*log(x + 1)**2 + 0.25*log(x + 1)**2,x**2*(0.479166666666667*x**2 - 0.25*x + 0.25)
199,exp(-3*exp(x)),(-7*x**4 - 4*x**3 + 24*x**2 - 24*x + 8)*exp(-3)/8
200,2*cos(x),x**4/12 - x**2 + 2
201,exp(-0.5*x**2),0.125*x**4 - 0.5*x**2 + 1
202,cos(2*x - 3*exp(x)),-x**4*(38*cos(3) - 15*sin(3))/24 - x**3*(9*cos(3) + 2*sin(3))/6 - x**2*(cos(3) + 3*sin(3))/2 - x*sin(3) + cos(3)
203,-1.5*x**3*sqrt(x**2 + 1),-1.5*x**3
204,-0.5*x**3*log(x + 1),-0.5*x**4
205,cos(3*cos(x)),-x**4*(9*cos(3) + sin(3))/8 + 3*x**2*sin(3)/2 + cos(3)
206,-2*x**3 - 2*sin(x),x*(-5*x**2 - 6)/3
207,-0.5*log(x + 1),x*(0.125*x**3 - 0.166666666666667*x**2 + 0.25*x - 0.5)
208,3*x**3 - 0.5*sqrt(x**2 + 1),0.0625*x**4 + 3*x**3 - 0.25*x**2 - 0.5
209,log(x**2 + 1),-x**4/2 + x**2
210,cos(cos(x)),-x**4*(sin(1) + 3*cos(1))/24 + x**2*sin(1)/2 + cos(1)
211,2*sqrt(x**2 + 1) - 3*log(x + 1),x**4/2 - x**3 + 5*x**2/2 - 3*x + 2
212,-0.5*x**2,-0.5*x**2
213,-2*cos(x),-x**4/12 + x**2 - 2
214,0.5*sqrt(x**2 + 1) - 3*exp(x),-0.1875*x**4 - x**3/2 - 1.25*x**2 - 3*x - 2.5
215,sin(x),-x**3/6 + x
216,-sin(3*x**2),-3*x**2
217,exp(1.5*x**3),1.5*x**3 + 1
218,cos(2*sqrt(x**2 + 1) - 0.5*exp(x)),0.341012037290209*x**4 + 0.088869887288142*x**3 - 0.756963390161504*x**2 + 0.498747493302027*x + 0.0707372016677029
219,exp(-6*x*log(x + 1)),16*x**4 + 3*x**3 - 6*x**2 + 1
220,2*x**2 - sqrt(x**2 + 1),x**4/8 + 3*x**2/2 - 1
221,2*sin(x) + 2*cos(x),x**4/12 - x**3/3 - x**2 + 2*x + 2
222,-2*exp(x) + 0.5*cos(x),-0.0625*x**4 - x**3/3 - 1.25*x**2 - 2*x - 1.5
223,sin(0.5*x**2*cos(x)),x**2*(0.5 - 0.25*x**2)
224,-sin(0.5*x**2 - x),x*(1.5*x**3 - x**2 - 3.0*x + 6)/6
225,exp(-3*x**3),1 - 3*x**3
226,log(x**2 + 1),-x**4/2 + x**2
227,exp(-2*x**2)*exp(-exp(x)),(49*x**4 + 52*x**3 - 48*x**2 - 24*x + 24)*exp(-1)/24
228,3*sin(x),x*(6 - x**2)/2
229,3*cos(x),x**4/8 - 3*x**2/2 + 3
230,x,x
231,3*exp(2*x),2*x**4 + 4*x**3 + 6*x**2 + 6*x + 3
232,2*log(x + 1)**2,x**2*(11*x**2 - 12*x + 12)/6
233,-2*sin(x),x*(x**2 - 6)/3
234,log(9*cos(x)**2 + 1),-21*x**4/200 - 9*x**2/10 + log(10)
235,-1.5*sqrt(x**2 + 1)*exp(x),-0.25*x**4 - 1.0*x**3 - 1.5*x**2 - 1.5*x - 1.5
236,cos(0.5*x**2 + 0.5),-0.109697820236297*x**4 - 0.239712769302102*x**2 + 0.877582561890373
237,-2*x**3,-2*x**3
238,0.25*log(x + 1)*sin(x),x**2*(0.0416666666666667*x**2 - 0.125*x + 0.25)
239,exp(3*x**3)/(x + 1)**0.5,-1.2265625*x**4 + 2.6875*x**3 + 0.375*x**2 - 0.5*x + 1
240,4*sin(x)**2,4*x**2*(3 - x**2)/3
241,cos(2*sqrt(x**2 + 1) - cos(x)),x**4*(-27*cos(1) + 7*sin(1))/24 - 3*x**2*sin(1)/2 + cos(1)
242,0.5*x,0.5*x
243,log(4*x**2*cos(x)**2 + 4*cos(x)**2 + 1),-8*x**4/15 + log(5)
244,2*sqrt(x**2 + 1),-x**4/4 + x**2 + 2
245,-3*x**2,-3*x**2
246,x**4,x**4
247,log(0.25*x**2 + 1.25),-0.02*x**4 + 0.2*x**2 + 0.22314355131421
248,3*x**3,3*x**3
249,log(16*x**2*exp(2*x) + 1),x**2*(-96*x**2 + 32*x + 16)
250,-sin(2*x),4*x**3/3 - 2*x
251,1.5*sin(x)*cos(x),x*(1.5 - 1.0*x**2)
252,x**2 - 4*x*log(x + 1) + 4*log(x + 1)**2,x**2*(7*x**2 - 6*x + 3)/3
253,2*x**2 - 0.5*sqrt(x**2 + 1),0.0625*x**4 + 1.75*x**2 - 0.5
254,exp(2*x**2)*exp(3*cos(x)),(x**4 + 2*x**2 + 4)*exp(3)/4
255,sin(sqrt(x**2 + 1)*exp(x)),x**4*(-9*sin(1)/8 - cos(1)/3) + x**3*(-sin(1) + cos(1)/2) + x**2*(-sin(1)/2 + cos(1)) + x*cos(1) + sin(1)
256,sqrt(x**2 + 1),-x**4/8 + x**2/2 + 1
257,3*x - log(x + 1),x*(3*x**3 - 4*x**2 + 6*x + 24)/12
258,36*sin(x)**2*cos(x)**2,x**2*(36 - 48*x**2)
259,cos(x**2),1 - x**4/2
260,log(0.25*sin(x)**2*cos(x)**2 + 1),x**2*(0.25 - 0.364583333333333*x**2)
261,-x,-x
262,exp(-0.5*x),0.00260416666666667*x**4 - 0.0208333333333333*x**3 + 0.125*x**2 - 0.5*x + 1
263,-9*sin(x)**2,3*x**2*(x**2 - 3)
264,6*sqrt(x**2 + 1)*log(x + 1),x*(-3*x**3 + 5*x**2 - 3*x + 6)
265,(x + 1)**(-0.5),0.2734375*x**4 - 0.3125*x**3 + 0.375*x**2 - 0.5*x + 1
266,-3*x**3,-3*x**3
267,1.0*log(x + 1)*sin(x),x**2*(0.166666666666667*x**2 - 0.5*x + 1.0)
268,-2*x**2,-2*x**2
269,log(sin(x)**2 + 1),-5*x**4/6 + x**2
270,-9*x**2 - 9,-9*x**2 - 9
271,-x**2*sin(x),-x**3
272,-2*log(x + 1),x*(3*x**3 - 4*x**2 + 6*x - 12)/6
273,cos(0.5*sqrt(x**2 + 1)),0.00253964110368854*x**4 - 0.119856384651051*x**2 + 0.877582561890373
274,sin(sin(x)),-x**3/3 + x
275,-sin(1.5*log(x + 1)*cos(x)),x*(-0.84375*x**3 + 0.8125*x**2 + 0.75*x - 1.5)
276,cos(0.5*exp(x)),-0.0567110078557897*x**4 - 0.139661916399059*x**3 - 0.229554204887347*x**2 - 0.239712769302102*x + 0.877582561890373
277,-2*x**2,-2*x**2
278,6*x**3,6*x**3
279,exp(2*x**3)/(x + 1),-x**4 + x**3 + x**2 - x + 1
280,sin(3*x*exp(x)),x*(-13*x**3 - 3*x**2 + 3*x + 3)
281,0.5*sin(x),x*(0.5 - 0.0833333333333333*x**2)
282,3*x**2,3*x**2
283,-sin(2*x**2),-2*x**2
284,0.5*sqrt(x**2 + 1) + 0.5*sin(x),-0.0625*x**4 - 0.0833333333333333*x**3 + 0.25*x**2 + 0.5*x + 0.5
285,-6*x**3*log(x + 1),-6*x**4
286,0.25*x**2 - 1.0*x*log(x + 1) + log(x + 1)**2,x**2*(0.583333333333333*x**2 - 0.5*x + 0.25)
287,-3*exp(x),-x**4/8 - x**3/2 - 3*x**2/2 - 3*x - 3
288,9*x**4,9*x**4
289,-0.5*x**3,-0.5*x**3
290,-0.5*x**2 - 2*sqrt(x**2 + 1),x**4/4 - 1.5*x**2 - 2
291,3*x**3,3*x**3
292,-6*x**3*exp(x),6*x**3*(-x - 1)
293,log(x + 1),x*(-x**3/4 + x**2/3 - x/2 + 1)
294,2*exp(x),x**4/12 + x**3/3 + x**2 + 2*x + 2
295,9*x**6 - 3.0*x**3*log(x + 1) + 0.25*log(x + 1)**2,x**2*(-2.77083333333333*x**2 - 0.25*x + 0.25)
296,cos(4*x*exp(x)),-16*x**4/3 - 16*x**3 - 8*x**2 + 1
297,1.5*sqrt(x**2 + 1)*exp(x),0.25*x**4 + 1.0*x**3 + 1.5*x**2 + 1.5*x + 1.5
298,3*x + 3*exp(x),x**4/8 + x**3/2 + 3*x**2/2 + 6*x + 3
299,-2*sqrt(x**2 + 1) + 3*exp(x),3*x**4/8 + x**3/2 + x**2/2 + 3*x + 1
300,0.5*x**2,0.5*x**2
301,cos(3*x**2),1 - 9*x**4/2
302,-4*x**2*exp(x),2*x**2*(-x**2 - 2*x - 2)
303,log(36*exp(2*x)*cos(x)**2 + 1),-158364*x**4/1874161 - 4344*x**3/50653 - 1260*x**2/1369 + 72*x/37 + log(37)
304,-x**2 + x,x*(1 - x)
305,-4*sin(x)*cos(x),8*x**3/3 - 4*x
306,-3*cos(x)**2,-x**4 + 3*x**2 - 3
307,1.5*sqrt(x**2 + 1)*cos(x),1.5 - 0.5*x**4
308,-x**2 - 0.5*sin(x),x*(0.0833333333333333*x**2 - x - 0.5)
309,2*x*sin(x),x**2*(6 - x**2)/3
310,-0.5*x + exp(x),x**4/24 + x**3/6 + x**2/2 + 0.5*x + 1
311,4*x**2*sin(x)**2,4*x**4
312,cos(x),x**4/24 - x**2/2 + 1
313,sin(1.0*x**2*cos(x)),x**2*(1.0 - 0.5*x**2)
314,-1.5*x**2*cos(x),x**2*(0.75*x**2 - 1.5)
315,4*sin(x)**2,4*x**2*(3 - x**2)/3
316,0.5*x**2 + 3*exp(x),x**4/8 + x**3/2 + 2.0*x**2 + 3*x + 3
317,-3*log(x + 1),x*(3*x**3 - 4*x**2 + 6*x - 12)/4
318,-0.5*sqrt(x**2 + 1),0.0625*x**4 - 0.25*x**2 - 0.5
319,log(4*sin(x)**2 + 1),x**2*(4 - 28*x**2/3)
320,3*x**2*exp(x),3*x**2*(x**2 + 2*x + 2)/2
321,1.0*sin(x)*cos(x),x*(1.0 - 0.666666666666667*x**2)
322,3*cos(x),x**4/8 - 3*x**2/2 + 3
323,-3*x - 3*sin(x),x*(x**2 - 12)/2
324,cos(0.5*x**2),1 - 0.125*x**4
325,exp(2*sin(x)),x**3 + 2*x**2 + 2*x + 1
326,cos(1.0*x),0.0416666666666667*x**4 - 0.5*x**2 + 1
327,1.5*sqrt(x**2 + 1),-0.1875*x**4 + 0.75*x**2 + 1.5
328,-2*sin(x),x*(x**2 - 6)/3
329,-2*exp(x),-x**4/12 - x**3/3 - x**2 - 2*x - 2
330,-9*x**2 - 9,-9*x**2 - 9
331,-sin(2*log(x + 1)),x*(-9*x**3 + 4*x**2 + 6*x - 12)/6
332,log(4*x**4 + 4*x**3 + x**2 + 1),x**2*(7*x**2 + 8*x + 2)/2
333,-0.5*x**2 + 2*exp(x),x**4/12 + x**3/3 + 0.5*x**2 + 2*x + 2
334,-1.5*x**3*exp(x),1.5*x**3*(-x - 1)
335,-3*cos(x),-x**4/8 + 3*x**2/2 - 3
336,sin(2*sqrt(x**2 + 1) - 0.5*sin(x)),-0.258338294874234*x**4 + 0.411300084605847*x**3 - 0.529809014900353*x**2 + 0.208073418273571*x + 0.909297426825682
337,-0.5*x**2,-0.5*x**2
338,cos(0.5*sqrt(x**2 + 1)),0.00253964110368854*x**4 - 0.119856384651051*x**2 + 0.877582561890373
339,9*exp(x)*cos(x),-3*x**4/2 - 3*x**3 + 9*x + 9
340,-2.5*exp(x),-0.104166666666667*x**4 - 0.416666666666667*x**3 - 1.25*x**2 - 2.5*x - 2.5
341,3*sqrt(x**2 + 1) + 3*sin(x),-3*x**4/8 - x**3/2 + 3*x**2/2 + 3*x + 3
342,log(9*exp(2*x) + 1),69*x**4/2500 - 12*x**3/125 + 9*x**2/50 + 9*x/5 + log(10)
343,-2*x**3 + 2*exp(x),x**4/12 - 5*x**3/3 + x**2 + 2*x + 2
344,6*exp(x)*sin(x),2*x*(x**2 + 3*x + 3)
345,exp(x),x**4/24 + x**3/6 + x**2/2 + x + 1
346,-sin(2*x**3),-2*x**3
347,-sin(0.5*sin(x)),x*(0.104166666666667*x**2 - 0.5)
348,cos(0.25*log(x + 1)*cos(x)),0.00276692708333333*x**4 + 0.03125*x**3 - 0.03125*x**2 + 1
349,-3*x**3 + 3*exp(x),x**4/8 - 5*x**3/2 + 3*x**2/2 + 3*x + 3
350,1.0*sin(x)**4,1.0*x**4
351,-x**2,-x**2
352,exp(2*sin(x)),x**3 + 2*x**2 + 2*x + 1
353,4*x**4,4*x**4
354,0.5*x**3 - log(x + 1),x*(x**3 + 0.666666666666667*x**2 + 2*x - 4)/4
355,0.5*x,0.5*x
